airlineID,name,iata,icao,country,active
2301,FINFO Flight Inspection Aircraft,1I,FLC,United States,N
2302,FLM Aviation Mohrdieck,1I,FKI,Germany,N
2303,FLTPLAN,1I,DCM,United States,N
2304,FLowair Aviation,1I,FLW,France,N
2305,FMG Verkehrsfliegerschule Flughafen Paderborn-Lippstadt,1I,FMG,Germany,N
2306,FR Aviation,1I,FRA,United Kingdom,N
2307,FSB Flugservice & Development,1I,FSB,Germany,N
2308,FSH Luftfahrtunternehmen,1I,LEJ,Germany,N
2309,Fab Air,1I,FBA,Kyrgyzstan,N
2310,Facts Air,1I,FCS,Mexico,N
2311,Fair Aviation,1I,FAV,South Africa,N
2312,Fair Wind Air Charter,1I,FWD,United Arab Emirates,N
2313,Fairlines,1I,FLS,Netherlands,N
2314,Fairoaks Flight Centre,1I,FFC,United Kingdom,N
2315,Fairways Corporation,1I,FWY,United States,N
2316,Falcon Air,1I,FCN,Sweden,N
2317,Falcon Air,1I,FAR,Slovenia,N
2318,Falcon Air Express,1I,FAO,United States,N
2319,Falcon Airline,1I,FAU,Nigeria,N
2321,Falcon Aviation Services,1I,FVS,United Arab Emirates,N
2322,Falcon Jet Centre,1I,FJC,United Kingdom,N
2323,Falwell Aviation,1I,FAW,United States,N
2324,Far Eastern Air Transport,EF,EFA,Taiwan,Y
2325,Farmingdale State University,1I,FDL,United States,N
2326,Farnair Hungary,1I,FAH,Hungary,N
2327,Farnair Netherlands,1I,FRN,Netherlands,N
2328,Farnair Switzerland,1I,FAT,Switzerland,N
2329,Farnas Aviation Services,1I,RAF,Sudan,N
2330,Faroecopter,1I,HBL,Denmark,N
2331,Faroejet,F6,RCK,Faroe Islands,N
2332,Farwest Airlines,1I,FRW,United States,N
2333,Faso Airways,F3,FSW,Burkina Faso,N
2334,Fast Helicopters,1I,FHL,United Kingdom,N
2335,Fayban Air Services,1I,FAY,Nigeria,N
2336,Fayetteville Flying Service and Scheduled Skyways System,1I,SKM,United States,N
2337,Federal Air,1I,FDR,South Africa,N
2338,Federal Airlines,1I,FLL,Sweden,N
2339,Federal Armed Forces,1I,DCN,Germany,N
2340,Federal Armored Service,1I,FRM,United States,N
2341,Federal Aviation Administration,1I,NHK,United States,N
